name	critic-score	audience-score	rating	genres	director_score	writer_score	actor_score	theater-date	streaming-date	box-office	runtime	studio
The Skin I Live In2011	80%	84%	"R (for disturbing violent content including sexual assault, strong sexuality, graphic nudity, drug use and language)"	"Art House & International,Drama,Mystery & Suspense"	82	82	"46.0,78.0,75.5,29.0"	"Oct 14, 2011Â limited"	6-Mar-12	"$3,185,193 "	117 minutes	Sony Pictures Classics
Those Magnificent Men in Their Flying Machines1965	71%	75%	G	"Action & Adventure,Art House & International,Classics,Comedy"	64	53	"69.5,69.0,76.0,77.0"	"Jan 1, 1965Â wide"	16-Mar-04	NA	132 minutes	NA
Beautiful Kate2009	84%	63%	"R (for strong sexual content and nudity, language and some violent images)"	"Art House & International,Drama,Mystery & Suspense"	63.5	NA	"60.0,73.5,73.5,78.0"	"Nov 7, 2009Â wide"	21-Dec-10	NA	90 minutes	Roadshow Films
Insomnia1998	97%	77%	NR	"Art House & International,Mystery & Suspense"	60	60	"68.5,89.0,89.0,97.0"	"May 29, 1998Â wide"	27-Jul-99	NA	97 minutes	NA
The Great Silence (Il grande silenzio)1968	100%	89%	NR	"Art House & International,Drama,Western"	92	92	"87.0,85.5,71.0,94.0"	"Jan 1, 1968Â wide"	27-Jan-04	NA	105 minutes	NA
Suicide Club (2002)	50%	69%	R	"Art House & International,Horror,Mystery & Suspense"	NA	NA	"47.0,57.0,79.0,50.0"	"Oct 1, 2002Â wide"	18-Nov-03	NA	95 minutes	NA
In the Company of Men1997	89%	79%	R (For language and emotional abuse.)	"Art House & International,Comedy,Drama"	62	62	"48.0,39.0,67.0,35.0"	"Aug 1, 1997Â wide"	17-Mar-98	NA	97 minutes	NA
Fay Grim (2007)	46%	57%	R (for language and some sexuality)	"Action & Adventure,Art House & International,Mystery & Suspense"	80	80	"56.0,56.0,68.5,42.0"	"Jan 19, 2007Â wide"	22-May-07	"$61,817 "	118 minutes	Magnolia Pictures
Homegrown1998	47%	50%	"R (adult situations/language, sex, violence)"	"Art House & International,Comedy,Drama,Mystery & Suspense"	49.5	50	"49.0,53.0,41.0,48.0"	"Jan 1, 1998Â wide"	1-Sep-98	NA	102 minutes	NA
Pather Panchali (1955)	98%	94%	NR	"Art House & International,Drama"	100	NA	"98.0,96.0,98.0,98.0"	"Sep 22, 1955Â wide"	28-Oct-03	NA	126 minutes	NA
Night on Earth1991	74%	91%	R	"Art House & International,Comedy,Drama"	84	84	"61.0,67.0,56.5,62.0"	"Dec 12, 1991Â wide"	4-Sep-07	NA	125 minutes	NA
Presenting Princess Shaw	91%	66%	NR	"Art House & International,Documentary,Musical & Performing Arts"	80.5	80.5	"91.0,91.0"	"May 27, 2016Â limited"	13-Sep-16	"$60,197 "	80 minutes	NA
Ripley's Game2003	92%	67%	"R (for strong violence and language, some sexuality)"	"Art House & International,Drama,Mystery & Suspense"	68	68	"62.5,58.0,50.0,86.0"	"Jan 1, 2003Â wide"	30-Mar-04	NA	110 minutes	New Line Cinema
Hyena Road	55%	59%	"R (for bloody war violence, language throughout and some sexual material)"	"Art House & International,Drama,Special Interest"	40	40	"55.0,40.0,63.0,55.0"	"Mar 11, 2016Â limited"	11-Mar-16	NA	120 minutes	Rhombus Media
Weapons (2007)	0%	54%	NR	"Art House & International,Drama"	45	45	"39.0,61.5,54.0,30.0"	NA	3-Mar-09	NA	82 minutes	NA
Medea1969	70%	75%	NR	"Art House & International,Drama"	84.5	NA	"70.0,70.0,70.0,88.0"	"Jan 1, 1969Â wide"	26-Nov-02	NA	118 minutes	NA
The Young Girl and the Monsoon (2001)	53%	43%	NR	"Art House & International,Comedy,Drama"	55.5	55.5	"60.0,68.0,42.0,46.5"	"Apr 1, 2001Â wide"	29-Jul-03	NA	90 minutes	Artistic License
Zero Effect1997	63%	76%	R (adult situations/language)	"Art House & International,Comedy,Drama,Mystery & Suspense"	66	66	"53.0,58.0,46.0,64.0"	"Jun 1, 1997Â wide"	7-Jul-98	NA	115 minutes	NA
Die! Die! My Darling!1965	44%	57%	NR	"Art House & International,Classics,Horror,Mystery & Suspense"	67	81	"44.0,70.0,67.5,64.0"	"Jan 1, 1965Â wide"	12-Aug-03	NA	97 minutes	NA
Triangle (Tie saam gok)2007	53%	44%	R (for some violence)	"Action & Adventure,Art House & International"	42.5	74.5	"86.0,78.0,47.5,58.0"	"Oct 1, 2007Â wide"	15-Sep-09	NA	100 minutes	NA
Ong-Bak (Ong Bak: Muay Thai Warrior) (2005)	86%	84%	"R (for sequences of strong violence, language, some drug use and sexuality)"	"Action & Adventure,Art House & International,Drama"	60.5	86	"48.0,64.5,48.0,70.0"	"Feb 11, 2005Â wide"	30-Aug-05	"$3,875,926 "	105 minutes	Magnolia Pictures
Viva Riva!2011	86%	52%	"R (for strong sexuality, graphic nudity, brutal violence, language and some drug use)"	"Art House & International,Drama"	86	86	"86.0,86.0,86.0,86.0"	"Jun 10, 2011Â limited"	27-Sep-11	"$61,759 "	96 minutes	Music Box Films
Sous le sable (Under the Sand)2001	94%	83%	R	"Art House & International,Drama"	76.5	91.5	"68.0,80.0,85.0,80.0"	"May 4, 2001Â wide"	11-Dec-01	NA	96 minutes	Winstar Cinema
Doghouse2009	48%	45%	NR	"Art House & International,Comedy,Horror"	42	49	"21.0,48.0,53.0,52.5"	"Nov 5, 2009Â wide"	12-Oct-09	NA	89 minutes	Vertigo Films
Embrace Of The Serpent (El Abrazo De La Serpiente)	96%	84%	NR	"Action & Adventure,Art House & International"	94.5	94.5	"84.0,85.0,96.0,96.0"	"Feb 17, 2016Â limited"	21-Jun-16	"$1,320,005 "	123 minutes	Buffalo Films
Alila2004	41%	44%	NR	"Art House & International,Comedy,Documentary,Drama,Special Interest"	64	64	"78.0,61.0,35.0,78.5"	"Feb 27, 2004Â limited"	9-Nov-04	NA	121 minutes	Kino International
Thesis1996	71%	89%	R	"Art House & International,Mystery & Suspense"	71	71	"73.5,71.0,64.0,46.0"	"Apr 12, 1996Â wide"	16-Nov-99	NA	125 minutes	NA
Lakeboat (2000)	83%	63%	"R (adult situations/language, sex)"	"Art House & International,Comedy,Drama"	51.5	74	"60.0,50.0,76.5,54.0"	"Jun 1, 2000Â wide"	24-Sep-02	NA	98 minutes	NA
Masai: The Rain Warriors (2006)	63%	58%	NR	"Art House & International,Drama"	63	63	"63.0,63.0,63.0,63.0"	"Oct 20, 2006Â wide"	26-Jun-07	NA	94 minutes	Mars Distribution
The Closet (Le Placard)2001	85%	78%	R (for a scene of sexuality)	"Art House & International,Comedy,Drama"	56	56	"81.5,78.0,48.0,70.0"	"May 4, 2001Â wide"	13-Nov-01	"$4,519,967 "	85 minutes	Miramax
Evolution	80%	44%	NR	"Art House & International,Drama"	75.5	75.5	"80.0,71.0,76.5,80.0"	"Nov 25, 2016Â limited"	21-Mar-17	"$7,215 "	81 minutes	NA
The Nines2007	65%	61%	"R (for language, some drug content and sexuality)"	"Art House & International,Comedy,Drama,Mystery & Suspense"	73	73	"43.5,63.0,43.0,57.0"	"Aug 31, 2007Â wide"	29-Jan-08	NA	99 minutes	Newmarket
Even the Rain (Meme La Pluie)2011	87%	84%	NR	"Art House & International,Drama"	82	86	"80.0,87.0,66.0,70.5"	"Feb 18, 2011Â limited"	16-May-11	"$558,342 "	103 minutes	Vitagraph Films
Red Cliff (Chi Bi) (2009)	90%	78%	R (for sequences of epic warfare)	"Action & Adventure,Art House & International,Classics,Drama"	67	90	"86.0,85.0,90.0,80.0"	"Nov 20, 2009Â wide"	27-Sep-08	"$526,841 "	148 minutes	Magnolia Pictures
The Accidental Spy (Te wu mi cheng) (2001)	29%	35%	PG-13 (some language and brief nudity)	"Action & Adventure,Art House & International,Comedy"	60	60	"60.0,64.0,40.5,29.0"	"Jan 18, 2001Â wide"	1-May-01	NA	108 minutes	Miramax
A Single Girl (2000)	75%	64%	NR	"Art House & International,Drama"	71.5	75	"75.5,74.5,58.5,75.0"	"Dec 31, 2000Â wide"	4-Jul-00	NA	90 minutes	NA
Lagaan: Once Upon a Time in India2001	95%	93%	PG (for language and some violence)	"Art House & International,Comedy,Drama,Musical & Performing Arts"	95	81	"85.5,95.0,39.0,56.0"	"Jun 15, 2001Â wide"	22-Jan-02	NA	225 minutes	B4U Entertainment
Sione's Wedding (Samoan Wedding) (2006)	83%	79%	NR	"Art House & International,Comedy"	61.5	NA	"95.0,83.0,83.0,83.0"	"Mar 30, 2006Â wide"	13-Feb-07	NA	97 minutes	Magnolia Pictures
To The Devil A Daughter1976	40%	38%	R	"Art House & International,Cult Movies,Horror,Mystery & Suspense"	40	49	"66.5,83.0,61.0,57.0"	"Jan 1, 1976Â wide"	8-Oct-02	NA	92 minutes	NA
Reuniting The Rubins2012	0%	40%	PG (for thematic elements and language)	"Art House & International,Comedy,Drama,Kids & Family"	0	0	"73.0,31.0,19.0,61.0"	"Mar 16, 2012Â limited"	23-Apr-12	"$13,287 "	99 minutes	Monterey Media
The Winter Guest (1997)	65%	75%	R (For language and brief sensuality)	"Art House & International,Drama"	66	66	"65.0,70.5,57.5,65.0"	"Dec 24, 1997Â wide"	30-Aug-05	NA	106 minutes	NA
Headhunters2012	93%	85%	"R (for bloody violence including some grisly images, strong sexual content and nudity)"	"Action & Adventure,Art House & International,Mystery & Suspense"	60	73	"63.0,69.5,93.0,90.5"	"Apr 27, 2012Â limited"	28-Aug-12	"$794,849 "	101 minutes	Magnolia Pictures
Swades (2004)	83%	91%	NR	"Art House & International,Drama,Musical & Performing Arts"	83	81	"75.0,83.0,81.0,83.0"	"Dec 17, 2004Â wide"	8-Mar-05	"$1,174,643 "	195 minutes	NA
The Snowtown Murders (2012)	83%	66%	NR	"Art House & International,Drama,Mystery & Suspense"	81	76	"83.0,83.0,83.0,83.0"	"Mar 2, 2012Â limited"	14-Aug-12	"$607,110 "	120 minutes	IFC Films
About Elly (2015)	99%	83%	NR	"Art House & International,Drama,Kids & Family"	96	96	"74.0,99.0,99.0,99.5"	"Apr 8, 2015Â limited"	31-Aug-15	"$54,665 "	119 minutes	Cinema Guild
La mujer de mi hermano2006	20%	59%	R (for sexuality and language)	"Art House & International,Drama,Special Interest"	26.5	20	"40.0,20.0,75.0,20.0"	"Apr 14, 2006Â wide"	25-Jul-06	"$2,752,399 "	91 minutes	Lions Gate Films
Purple Butterfly (Zi hudie) (2004)	43%	45%	R (for strong violence and a scene of sexuality)	"Art House & International,Drama"	74	NA	"50.0,54.5,39.5,38.0"	"Nov 26, 2004Â wide"	15-Feb-05	NA	127 minutes	Palm Pictures
And Now A Word From Our Sponsor (2013)	11%	23%	NR	"Art House & International,Comedy,Drama"	11	20	"56.0,56.0,29.0,11.0"	"May 10, 2013Â limited"	16-Sep-13	NA	83 minutes	Paladin Films
Ping Pong Playa (2007)	64%	52%	"PG-13 (for language, including some sexual remarks and drug references)"	"Art House & International,Comedy,Drama"	76	76	"82.0,46.5,35.0,64.0"	"Sep 9, 2007Â wide"	6-Jan-09	NA	96 minutes	IFC Films
The Barefoot Contessa1954	100%	72%	NR	"Art House & International,Classics,Drama,Mystery & Suspense"	94	94	"82.0,97.0,93.0,91.0"	"Jan 1, 1954Â wide"	19-Jun-01	NA	128 minutes	NA
True Legend2011	63%	55%	R (for sequences of battle violence and brutal fighting)	"Action & Adventure,Art House & International,Drama"	67	67	"63.0,67.5,50.0,66.5"	"May 13, 2011Â limited"	13-Sep-11	"$62,199 "	116 minutes	Indomina Media
Nabbeun namja (Bad Guy) (2001)	44%	67%	NR	"Art House & International,Drama"	76	76	"44.0,44.0,44.0,44.0"	"Nov 11, 2001Â wide"	28-Jun-05	NA	100 minutes	Lifesize Entertainment
Starbuck2013	66%	80%	"R (for sexual content, language and some drug material)"	"Art House & International,Comedy"	56	66	"71.0,61.0,52.0,66.0"	"Mar 22, 2013Â limited"	23-Jul-13	"$3,790,059 "	109 minutes	Entertainment One
Bagdad Cafe1988	89%	88%	"PG (adult situations/language, nudity)"	"Art House & International,Comedy,Drama"	67	63	"63.0,80.0,80.5,74.5"	"Apr 29, 1988Â wide"	24-Jul-01	NA	91 minutes	NA
This Is Not a Film2012	97%	69%	NR	"Art House & International,Documentary,Special Interest"	93.5	97	"93.5,97.0"	"Feb 29, 2012Â limited"	26-Feb-13	"$63,144 "	75 minutes	Palisades Tartan
The Trotsky (2010)	79%	71%	NR	"Art House & International,Comedy"	53	53	"58.0,59.0,65.0,79.0"	"May 5, 2010Â wide"	14-Dec-10	"$439,880 "	113 minutes	Park Ex
Widows' Peak1994	94%	49%	PG	"Art House & International,Comedy,Drama,Mystery & Suspense"	51	82	"66.0,58.0,47.0,91.0"	"May 13, 1994Â wide"	19-Apr-05	NA	102 minutes	NA
"Dr. Mabuse the Gambler (Dr. Mabuse, der Spieler - Ein Bild der Zeit) (Dr. Mabuse, King of Crime) (1922)"	93%	88%	NR	"Art House & International,Classics,Drama,Mystery & Suspense"	90	93	"93.5,93.0,96.0,93.0"	"Jan 1, 1922Â wide"	28-Aug-01	NA	242 minutes	NA
The Salesman (Forushande)	96%	84%	PG-13 (for mature thematic elements and a brief bloody image)	"Art House & International,Drama,Mystery & Suspense"	96	96	"99.0,99.0,87.0,96.0"	"Jan 27, 2017Â limited"	2-May-17	"$11,067 "	125 minutes	Cohen Media Group
Kolya1997	96%	92%	PG-13 (For some sensuality.)	"Art House & International,Comedy,Drama"	96	96	"96.0,96.0,96.0,96.0"	"Jan 24, 1997Â wide"	2-Jul-02	NA	105 minutes	NA
Killing for Love (Das Versprechen)	100%	85%	NR	"Art House & International,Documentary"	70	70	"63.0,67.0,100.0,95.5"	"Dec 15, 2017Â limited"	17-Apr-18	NA	124 minutes	IFC Films
Madame Sat (2002)	60%	81%	NR	"Art House & International,Drama"	68.5	68.5	"63.0,66.0,72.0,60.0"	"Aug 22, 2002Â wide"	13-Jan-04	NA	105 minutes	Wellspring
Brguminn (White Night Wedding) (2008)	29%	58%	NR	"Art House & International,Comedy,Drama"	57.5	57.5	"51.0,29.0,56.5,29.0"	"Jan 18, 2008Â wide"	15-Sep-09	NA	96 minutes	NA
The Villainess (Ak-Nyeo)	84%	64%	NR	"Action & Adventure,Art House & International,Drama"	84	84	"84.0,81.0,84.0,84.0"	"Aug 25, 2017Â limited"	21-Nov-17	"$27,442 "	124 minutes	NA
Loverboy2006	17%	35%	R (for sexuality)	"Art House & International,Drama"	54	19.5	"50.0,50.5,63.0,48.0"	"Jun 16, 2006Â wide"	26-Sep-06	NA	86 minutes	ThinkFilm
Tashan2008	50%	19%	NR	"Action & Adventure,Art House & International,Drama,Mystery & Suspense"	80	80	"50.0,58.5,50.0,61.5"	"Apr 25, 2008Â wide"	28-Oct-08	"$428,923 "	160 minutes	Yash Raj Films
Dormant Beauty2014	83%	39%	NR	"Art House & International,Drama"	83	83	"74.0,84.5,81.5,83.0"	"Jun 6, 2014Â limited"	27-Oct-14	NA	103 minutes	NA
Ab-normal Beauty (2004)	67%	58%	R	"Art House & International,Horror"	48	48	"43.0,67.0,67.0,67.0"	"Nov 4, 2004Â wide"	26-Dec-05	NA	98 minutes	Magic Head Film
The Happiness of the Katakuris (2001)	64%	82%	R (for violent images and some sexual content)	"Art House & International,Comedy,Drama,Horror,Musical & Performing Arts"	61	64	"71.5,64.0,71.0,64.0"	"Jan 1, 2001Â wide"	25-Feb-03	NA	113 minutes	NA
Elite Squad: The Enemy Within2011	93%	91%	R	"Action & Adventure,Art House & International,Drama"	51	83	"64.0,61.5,90.0,73.0"	"Nov 11, 2011Â limited"	14-Feb-12	"$100,119 "	116 minutes	Variance Films
Bite2016	47%	15%	NR	"Art House & International,Horror"	27	47	"47.0,47.0,47.0,47.0"	"May 6, 2016Â limited"	2-Aug-16	NA	90 minutes	Black Fawn Films
Ironweed1987	62%	59%	"R (adult situations/language, nudity, violence)"	"Art House & International,Drama"	70	59.5	"77.0,72.0,64.5,72.0"	"Dec 18, 1987Â wide"	24-Feb-09	NA	135 minutes	NA
The Condemned2013	0%	64%	NR	"Art House & International,Documentary,Mystery & Suspense,Special Interest"	0	0	"0.0,14.0,0.0,0.0"	"Mar 1, 2013Â limited"	6-May-13	"$3,718 "	80 minutes	Strand Releasing
Declaration of War2012	86%	70%	NR	"Art House & International,Comedy,Drama,Special Interest"	60	77	"77.0,60.0,86.0,86.0"	"Jan 27, 2012Â limited"	5-Jun-12	"$46,225 "	100 minutes	IFC Films
Antonia (Antnia - O Filme)2007	93%	76%	"PG-13 (for some thematic material, language and brief violence)"	"Art House & International,Drama,Musical & Performing Arts"	93	93	"93.0,93.0,93.0,93.0"	"Aug 17, 2007Â wide"	4-Dec-07	NA	88 minutes	Anywhere Road Entertainment
Timbuktu2015	98%	77%	PG-13 (for some violence and thematic elements)	"Art House & International,Drama"	88	88	"69.0,98.0,98.0,98.0"	"Jan 28, 2015Â limited"	23-Jun-15	"$696,436 "	97 minutes	Cohen Media Group
The Power of One1992	39%	87%	PG-13 (violence)	"Action & Adventure,Art House & International,Drama"	42	50.5	"40.0,62.0,52.0,77.0"	"Mar 1, 1992Â wide"	22-Jun-99	NA	126 minutes	NA
Antichrist2009	52%	55%	NR	"Art House & International,Drama,Horror,Mystery & Suspense"	74.5	71	"66.5,66.0,52.0"	"Oct 23, 2009Â wide"	1-Mar-10	"$228,568 "	104 minutes	IFC Films
16 Years of Alcohol (2003)	80%	68%	"R (for pervasive language, some violent content and sexual material)"	"Art House & International,Drama"	60	60	"67.0,42.0,58.0,65.0"	"Jan 1, 2003Â wide"	24-May-05	NA	97 minutes	Metro Tartan Distributors
22 Bullets2013	42%	55%	NR	"Action & Adventure,Art House & International,Drama,Mystery & Suspense"	63	66.5	"41.0,63.0,81.0,86.0"	"Nov 8, 2013Â limited"	11-Feb-14	NA	117 minutes	EuropaCorp
Merci Docteur Rey (2002)	0%	65%	R	"Art House & International,Comedy,Drama"	0	0	"59.5,73.0,67.0,67.0"	"Oct 13, 2002Â wide"	9-Aug-05	NA	91 minutes	Regent Releasing
Adventures of Sebastian Cole1998	43%	70%	R	"Art House & International,Comedy,Drama"	51	51	"40.5,55.5,29.0,52.5"	NA	21-Mar-00	NA	104 minutes	NA
My Reincarnation2011	71%	71%	NR	"Action & Adventure,Art House & International,Documentary,Special Interest"	71	71	"71.0,71.0"	"Oct 28, 2011Â limited"	19-Jun-12	"$92,674 "	100 minutes	Long Shot Factory
"Je Vous Salue, Marie (Hail Mary) (1985)"	70%	63%	R	"Art House & International,Drama,Special Interest,Faith & Spirituality"	84	84	"70.0,70.0,70.0,70.0"	"Jan 23, 1985Â wide"	29-Mar-05	NA	107 minutes	NA
Facing Windows (2004)	64%	86%	R (for language and some sexuality)	"Art House & International,Drama"	72	72	"64.0,83.0,37.5,64.0"	"Apr 10, 2004Â wide"	2-Nov-04	"$373,955 "	106 minutes	Sony Pictures Classics
Judex1963	90%	82%	NR	"Action & Adventure,Art House & International,Classics,Drama"	93	91.5	"90.0,75.0,80.0,75.0"	"Dec 4, 1963Â wide"	16-Jun-14	NA	103 minutes	NA
Ikiru (1956)	100%	97%	PG	"Art House & International,Drama"	87	87	"95.0,100.0,83.0,100.0"	"Mar 25, 1956Â wide"	6-Jan-04	NA	134 minutes	NA
Zero Bridge (2011)	77%	44%	NR	"Art House & International,Drama"	77	77	"77.0,77.0,77.0"	"Feb 16, 2011Â limited"	5-Jun-12	"$8,247 "	96 minutes	The Film Desk
Amour2012	93%	82%	"PG-13 (for mature thematic material including a disturbing act, and for brief language)"	"Art House & International,Drama"	72	72	"87.0,93.0,74.0,93.0"	"Dec 19, 2012Â wide"	20-Aug-13	"$6,700,000 "	127 minutes	Sony Pictures Classics
Mama2013	65%	55%	"PG-13 (for violence and terror, some disturbing images and thematic elements)"	"Art House & International,Horror"	75	65	"73.5,63.0,28.5,74.0"	"Jan 18, 2013Â wide"	7-May-13	"$71,588,220 "	100 minutes	Universal Pictures
The School of Flesh (1998)	72%	59%	"R (adult situations/language, nudity, sex)"	"Art House & International,Drama"	71.5	70	"74.0,47.0,75.0,71.5"	"Jun 1, 1998Â wide"	7-Dec-99	NA	102 minutes	NA
The Puffy Chair2005	77%	62%	R (for language)	"Art House & International,Comedy,Drama"	78	79	"79.0,72.5,77.0,77.0"	"Jan 1, 2005Â wide"	23-Jan-07	"$26,029 "	85 minutes	Roadside Attractions
The Rage in Placid Lake (2004)	53%	79%	NR	"Art House & International,Comedy,Drama"	55	NA	"53.0,65.5,64.0,61.0"	"Oct 22, 2004Â wide"	18-Apr-06	NA	89 minutes	Film Movement
Mountain Patrol (Kekexili)2006	98%	90%	"PG-13 (for violence and disturbing images, brief sexuality and language)"	"Action & Adventure,Art House & International,Drama"	NA	NA	"98.0,98.0"	"Apr 14, 2006Â limited"	29-Aug-06	NA	90 minutes	Samuel Goldwyn Films
Billy Jack Goes to Washington (1977)	0%	38%	PG	"Action & Adventure,Art House & International,Drama"	50	50	"3.0,50.0,55.0,70.0"	"Jan 1, 1977Â wide"	31-Oct-00	NA	155 minutes	Taylor-Laughlin Distribution
The Living Wake2010	50%	71%	PG-13 (for sexual material)	"Art House & International,Comedy,Drama"	54	33	"33.0,55.5,59.0,70.5"	"May 21, 2010Â wide"	10-Aug-10	"$12,055 "	92 minutes	Mangusta Productions
Thelma	93%	75%	NR	"Art House & International,Mystery & Suspense"	90.5	90.5	"88.0,93.0,85.0,93.5"	"Nov 10, 2017Â limited"	3-Apr-18	"$147,112 "	116 minutes	The Orchard
Mark of the Devil (1969)	33%	46%	R	"Art House & International,Classics,Cult Movies,Horror"	70	NA	"68.5,33.0,50.0,85.0"	"Dec 31, 1969Â wide"	26-Oct-04	NA	96 minutes	NA
The Loved Ones (2012)	98%	74%	"R (for strong bloody violence and torture, sexuality, some language, teen drug and alcohol use)"	"Art House & International,Horror"	94.5	NA	"46.0,73.0,78.5,82.0"	"Jun 1, 2012Â limited"	11-Sep-12	NA	84 minutes	Independent Pictures
Zhong Nan Hai bao biao (The Defender) (The Bodyguard from Beijing) (1994)	71%	66%	R	"Action & Adventure,Art House & International"	62.5	NA	"64.0,71.0,83.0,71.0"	"Dec 31, 1994Â wide"	6-Oct-98	NA	93 minutes	NA
Mental2013	40%	55%	NR	"Art House & International,Comedy,Horror"	55	55	"67.5,50.0,64.5,40.0"	"Mar 29, 2013Â limited"	1-Jul-13	"$2,202,208 "	116 minutes	Dada Films
Tamara Drewe2010	65%	42%	R (for language and some sexuality)	"Art House & International,Comedy,Drama"	85	68.5	"60.5,73.5,74.5,57.0"	"Oct 8, 2010Â limited"	8-Feb-11	"$560,101 "	111 minutes	Sony Pictures Classics
Secret Ballot (2002)	82%	63%	G (http://www.sonyclassics.com/secretballot/)	"Art House & International,Comedy,Drama"	71	82	"82.0,82.0,82.0,82.0"	"Aug 9, 2002Â limited"	7-Jan-03	NA	105 minutes	Sony Pictures Classics
NoBody's Perfect (2008)	73%	87%	NR	"Art House & International,Documentary,Drama,Special Interest,Sports & Fitness"	74.5	73	"73.0,73.0,73.0,73.0"	"Sep 8, 2008Â wide"	3-Apr-12	NA	84 minutes	Lorber Films
Thirteen Conversations About One Thing2001	83%	71%	R (for language and brief drug use)	"Art House & International,Comedy,Drama"	83	83	"63.0,83.0,56.0,53.0"	"Sep 1, 2001Â wide"	19-Nov-02	"$3,004,491 "	104 minutes	Sony Pictures Classics
Stranger Than Paradise1984	95%	88%	R	"Art House & International,Comedy,Drama"	84	84	"80.0,87.0,50.0,95.0"	"Jul 25, 1984Â wide"	5-Sep-00	NA	95 minutes	NA
The Gleaners and I (2001)	93%	86%	NR	"Art House & International,Documentary,Drama,Special Interest"	95	NA	"93.0,87.5,95.0"	"Apr 6, 2001Â limited"	23-Jul-02	NA	82 minutes	Zeitgeist Films
King David (1985)	8%	42%	PG-13	"Art House & International,Classics,Drama"	50	53.5	"56.5,82.0,79.0,52.5"	"Mar 29, 1985Â wide"	18-Nov-03	NA	114 minutes	NA
Fireball (Muay Thai Dunk)2009	8%	38%	"R (for strong bloody brutal martial arts violence throughout, and brief sexuality)"	"Action & Adventure,Art House & International,Drama"	8	8	"8.0,8.0,8.0,8.0"	"Jan 29, 2009Â wide"	26-Jan-10	NA	97 minutes	NA
Woman in the Dunes (Suna no Onna)1964	100%	92%	NR	"Art House & International,Drama,Special Interest"	100	100	"100.0,100.0,94.0,100.0"	"Oct 25, 1964Â limited"	4-Jan-00	NA	123 minutes	NA
Krlighed p Film (Just Another Love Story) (2007)	73%	82%	R	"Art House & International,Drama,Mystery & Suspense"	50.5	50.5	"73.0,74.0,70.5,73.0"	"Aug 24, 2007Â wide"	5-May-09	NA	104 minutes	Revolver Entertainment
Swimming Pool2003	83%	67%	"R (for strong sexual content, nudity, language, some violence and drug use)"	"Art House & International,Drama,Mystery & Suspense"	76.5	72.5	"68.0,74.0,56.0,83.0"	"Jul 2, 2003Â wide"	13-Jan-04	"$9,942,554 "	103 minutes	Focus Features
"Greystoke: The Legend of Tarzan, Lord of the Apes1984"	69%	60%	"PG (adult situations/language, violence)"	"Action & Adventure,Art House & International,Drama,Kids & Family"	69	65	"23.0,84.0,71.0,54.5"	"Mar 30, 1984Â wide"	8-Jun-04	NA	130 minutes	NA
Casa de mi padre2012	40%	35%	"R (for bloody violence, language, and some sexual content and drug use)"	"Art House & International,Comedy"	40	30	"50.0,71.0,54.0,61.0"	"Mar 16, 2012Â limited"	17-Jul-12	"$5,895,238 "	84 minutes	Pantelion Films
Lone Wolf and Cub - Baby Cart at the River Styx (Kozure kami: Sanzu no kawa no ubaguruma) (Shogun Assassin) (1972)	100%	92%	NR	"Action & Adventure,Art House & International"	100	NA	"82.0,91.0,100.0,83.5"	"Jan 1, 1972Â limited"	7-Nov-00	NA	81 minutes	NA
Night and Day (Bam gua nat) (2009)	92%	67%	NR	"Art House & International,Drama"	91.5	91.5	"92.0,92.0,92.0,94.0"	"Oct 23, 2009Â wide"	9-Jan-12	NA	145 minutes	IFC Films
William Shakespeare's The Merchant of Venice2004	71%	72%	R (for some nudity)	"Art House & International,Comedy,Drama,Special Interest"	63	63	"70.0,53.0,43.5,50.0"	"Dec 29, 2004Â limited"	10-May-05	"$3,300,000 "	138 minutes	Sony Pictures Classics
Butterfly Kiss1996	77%	60%	R	"Art House & International,Comedy,Drama"	65	78.5	"45.0,75.0,84.5,79.0"	"Apr 26, 1996Â wide"	11-Jun-02	NA	85 minutes	NA
Dovlatov2018	70%	70%	NR	"Art House & International,Drama"	70	82.5	"76.5,50.0,82.0,70.0"	"Oct 26, 2018Â limited"	26-Oct-18	NA	126 minutes	NA
Cabiria (1914)	100%	69%	NR	"Art House & International,Classics,Drama"	100	100	"100.0,100.0,100.0,100.0"	"Jun 1, 1914Â wide"	7-Nov-00	NA	181 minutes	NA
De Sade (2001)	0%	25%	R	"Art House & International,Classics,Drama,Mystery & Suspense"	70	57	"67.0,63.5,69.5,80.0"	"Jan 1, 2001Â wide"	19-Mar-02	NA	113 minutes	NA
Etoiles: Dancers of the Paris Opera Ballet (2002)	62%	79%	NR	"Art House & International,Documentary,Drama,Musical & Performing Arts"	70	70	70	"Jan 1, 2002Â wide"	21-Oct-03	NA	96 minutes	NA
The Tribe (2015)	87%	69%	NR	"Art House & International,Drama"	87	87	"87.0,87.0,87.0,87.0"	"Jun 17, 2015Â wide"	8-Mar-16	"$76,637 "	130 minutes	Drafthouse Films
Bad Day for the Cut2017	100%	68%	NR	"Art House & International,Drama,Mystery & Suspense"	100	100	"77.5,58.0,78.0,100.0"	"Oct 20, 2017Â limited"	9-Jan-18	NA	99 minutes	NA
The Swindle1997	69%	48%	NR	"Art House & International,Comedy,Drama,Mystery & Suspense"	84.5	84.5	"74.0,90.0,75.0,71.5"	"Oct 24, 1997Â wide"	29-Aug-06	NA	104 minutes	NA
